statenum stateid year pop rgdpch gdppc origin
20 CAN 1972 22344.10 15203.10 4550.48 0
20 CAN 1973 22614.67 16033.53 5143.60 0
20 CAN 1974 22876.66 16325.60 5914.89 0
20 CAN 1975 23142.27 16494.47 6484.03 0
20 CAN 1976 23416.09 17151.35 7172.95 0
20 CAN 1977 23695.20 17607.07 7791.08 0
20 CAN 1978 23975.64 18026.54 8466.50 0
20 CAN 1979 24250.64 18550.42 9581.78 0
20 CAN 1980 24516.28 18634.75 10687.25 0
20 CAN 1981 24769.85 19000.24 11737.74 0
20 CAN 1982 25016.05 18078.26 11794.67 0
20 CAN 1983 25266.95 18550.12 12500.78 0
20 CAN 1984 25538.86 19488.86 13500.80 0
20 CAN 1985 25842.59 20183.97 14327.46 0
20 CAN 1986 26183.17 20465.62 14754.82 0
20 CAN 1987 26554.73 21150.73 15853.83 0
20 CAN 1988 26943.70 21811.99 17010.45 0
20 CAN 1989 27330.55 22131.94 17998.11 0
20 CAN 1990 27700.86 21757.13 18331.40 0
20 CAN 1991 28051.01 20895.51 18048.25 0
20 CAN 1992 28384.36 20853.42 18326.75 0
20 CAN 1993 28701.93 21192.89 18843.62 0
20 CAN 1994 29006.86 22133.19 19950.71 0
20 CAN 1995 29302.09 22589.00 20971.83 0
20 CAN 1996 29585.80 22756.19 21555.95 0
20 CAN 1997 29858.14 23709.46 22635.00 0
20 CAN 1998 30126.63 24453.66 23039.34 0
20 CAN 1999 30401.30 25669.97 24615.57 0
20 CAN 2000 30689.04 26820.73 26820.73 0
20 CAN 2001 30993.35 26950.81 27414.49 0
20 CAN 2002 31311.50 27512.87 28187.84 0
20 CAN 2003 31636.48 27844.94 29775.90 0
20 CAN 2004 31957.88 28397.69 31600.21 0
31 BHM 1973 181.99 16696.16 5296.09 0
31 BHM 1974 185.50 13633.85 4778.09 0
31 BHM 1975 189.14 11394.98 4369.26 0
31 BHM 1976 193.26 11736.51 4749.94 0
31 BHM 1977 197.50 12524.99 5415.74 0
31 BHM 1978 201.50 14013.61 6491.49 0
31 BHM 1979 206.15 17274.01 8714.23 0
31 BHM 1980 209.94 18096.46 10092.20 0
31 BHM 1981 214.71 17206.37 10446.95 0
31 BHM 1982 219.68 17748.23 11399.42 0
31 BHM 1983 224.72 18578.20 12323.12 0
31 BHM 1984 229.82 18598.46 12729.51 0
31 BHM 1985 234.99 18993.95 13387.06 0
31 BHM 1986 239.83 19073.84 13754.47 0
31 BHM 1987 244.04 19854.63 14763.36 0
31 BHM 1988 248.06 19978.14 15359.15 0
31 BHM 1989 252.42 22178.67 17666.06 0
31 BHM 1990 257.25 20576.05 17893.82 0
31 BHM 1991 260.33 19653.40 16900.39 0
31 BHM 1992 264.08 17902.96 15801.69 0
31 BHM 1993 268.19 17315.42 15681.00 0
31 BHM 1994 271.88 17665.61 16373.88 0
31 BHM 1995 275.30 17060.46 16010.16 0
31 BHM 1996 278.57 16705.12 15845.94 0
31 BHM 1997 281.58 16625.26 16019.96 0
31 BHM 1998 284.51 16720.46 16230.24 0
31 BHM 1999 287.36 18424.51 17958.90 0
31 BHM 2000 290.07 19088.04 19088.04 0
31 BHM 2001 292.66 18533.12 18959.79 0
31 BHM 2002 295.13 18377.36 19184.39 0
31 BHM 2003 297.48 18381.03 19655.97 0
31 BHM 2004 301.56 18711.85 20252.61 0
40 CUB 1950 5784.80 2668.01 441 1
40 CUB 1951 5891.80 2668.01 473 1
40 CUB 1952 6007.80 2668.01 481 1
40 CUB 1953 6128.80 2668.01 487 1
40 CUB 1954 6254.34 2668.01 491 1
40 CUB 1955 6381.11 2668.01 500 1
40 CUB 1956 6512.94 2668.01 517 1
40 CUB 1957 6640.75 2668.01 535 1
40 CUB 1958 6763.06 2668.01 547 1
40 CUB 1959 6900.89 2668.01 554 1
40 CUB 1960 7027.21 2668.01 561 1
40 CUB 1961 7134.00 2668.01 568 1
40 CUB 1962 7254.37 2668.01 575 1
40 CUB 1963 7414.88 2668.01 582 1
40 CUB 1964 7612.27 2668.01 590 1
40 CUB 1965 7809.92 2668.01 601 1
40 CUB 1966 7985.32 2668.01 618 1
40 CUB 1967 8139.33 2668.01 637 1
40 CUB 1968 8283.93 2668.01 665 1
40 CUB 1969 8421.05 2668.01 698 1
40 CUB 1970 8542.75 2668.01 907.25 0
40 CUB 1971 8669.63 2806.44 1009.57 0
40 CUB 1972 8831.35 2863.87 1102.62 0
40 CUB 1973 9001.35 2892.15 1241.82 0
40 CUB 1974 9152.87 2863.86 1399.84 0
40 CUB 1975 9290.07 3125.92 1578.30 0
40 CUB 1976 9420.91 3272.78 1714.09 0
40 CUB 1977 9537.99 3653.67 1985.49 0
40 CUB 1978 9634.03 3898.35 2301.58 0
40 CUB 1979 9710.15 3961.71 2491.48 0
40 CUB 1980 9652.98 3732.71 2590.64 0
40 CUB 1981 9711.98 4456.54 2899.41 0
40 CUB 1982 9789.22 5039.67 3474.96 0
40 CUB 1983 9885.60 5239.11 3527.11 0
40 CUB 1984 9982.30 5356.10 3650.32 0
40 CUB 1985 10078.66 6972.62 5076.81 0
40 CUB 1986 10162.19 7109.85 5197.85 0
40 CUB 1987 10239.84 7153.07 5408.92 0
40 CUB 1988 10334.04 7262.69 5675.89 0
40 CUB 1989 10439.25 7254.73 5797.07 0
40 CUB 1990 10544.79 6749.49 5809.00 0
40 CUB 1991 10642.49 6618.25 5670.10 0
40 CUB 1992 10723.26 5761.52 4932.19 0
40 CUB 1993 10788.02 4953.57 4392.51 0
40 CUB 1994 10844.61 5006.80 4626.34 0
40 CUB 1995 10896.80 4976.87 4683.87 0
40 CUB 1996 10943.05 5166.46 4992.26 0
40 CUB 1997 10983.01 5093.60 5049.49 0
40 CUB 1998 11029.13 5164.70 5074.87 0
40 CUB 1999 11082.75 5475.04 5457.02 0
40 CUB 2000 11134.27 5698.62 5698.62 0
40 CUB 2001 11182.30 5892.47 6016.09 0
40 CUB 2002 11227.00 6031.45 6312.89 0
40 CUB 2003 11268.98 6287.97 6875.68 0
40 CUB 2004 11268.98 6287.97 7526 1
41 HAI 1950 3097.22 1325.43 219 1
41 HAI 1951 3148.15 1325.43 235 1
41 HAI 1952 3201.49 1325.43 239 1
41 HAI 1953 3257.36 1325.43 242 1
41 HAI 1954 3315.52 1325.43 244 1
41 HAI 1955 3376.42 1325.43 248 1
41 HAI 1956 3441.34 1325.43 257 1
41 HAI 1957 3507.70 1325.43 266 1
41 HAI 1958 3576.77 1325.43 272 1
41 HAI 1959 3648.30 1325.43 275 1
41 HAI 1960 3722.74 1325.43 260 -1
41 HAI 1961 3800.26 1260.88 247 -1
41 HAI 1962 3880.13 1302.48 262 -1
41 HAI 1963 3964.06 1275.23 262 -1
41 HAI 1964 4049.80 1259.45 263 -1
41 HAI 1965 4137.40 1282.40 272 -1
41 HAI 1966 4226.71 1279.53 281 -1
41 HAI 1967 4318.14 1200.64 271 -1
41 HAI 1968 4411.54 1203.51 286 -1
41 HAI 1969 4506.97 1217.85 301 -1
41 HAI 1970 4604.92 1757.10 449.34 0
41 HAI 1971 4653.08 1805.24 480.86 0
41 HAI 1972 4700.99 1760.14 481.06 0
41 HAI 1973 4748.36 1786.79 516.14 0
41 HAI 1974 4795.24 1839.38 576.56 0
41 HAI 1975 4839.40 1865.82 635.83 0
41 HAI 1976 4881.75 2100.28 781.18 0
41 HAI 1977 4925.43 2135.40 829.65 0
41 HAI 1978 4970.50 2265.87 928.86 0
41 HAI 1979 5017.03 2335.79 1023.50 0
41 HAI 1980 5055.69 2607.16 1249.27 0
41 HAI 1981 5090.99 2553.22 1270.20 0
41 HAI 1982 5149.30 2325.84 1288.10 0
41 HAI 1983 5247.76 2276.45 1319.65 0
41 HAI 1984 5354.53 2281.78 1403.37 0
41 HAI 1985 5468.72 2264.12 1452.19 0
41 HAI 1986 5588.24 2198.00 1489.05 0
41 HAI 1987 5710.06 2119.70 1460.49 0
41 HAI 1988 5832.69 2159.85 1490.58 0
41 HAI 1989 5955.34 1948.61 1472.81 0
41 HAI 1990 6074.77 1951.55 1551.12 0
41 HAI 1991 6173.86 1906.40 1429.16 0
41 HAI 1992 6272.45 1779.48 1433.08 0
41 HAI 1993 6387.90 1896.03 1586.31 0
41 HAI 1994 6500.21 1709.64 1563.38 0
41 HAI 1995 6613.61 1911.80 1657.01 0
41 HAI 1996 6726.53 1872.41 1667.18 0
41 HAI 1997 6837.26 1881.58 1742.57 0
41 HAI 1998 6951.62 1930.43 1810.65 0
41 HAI 1999 7066.08 1933.21 1850.28 0
41 HAI 2000 7177.11 2069.29 2069.29 0
41 HAI 2001 7177.11 2069.29 2119 1
41 HAI 2002 7177.11 2069.29 2156 1
41 HAI 2003 7177.11 2069.29 2202 1
41 HAI 2004 7177.11 2069.29 2265 1
42 DOM 1950 2352.97 1361.30 212 -1
42 DOM 1951 2419.13 1713.42 375.80 0
42 DOM 1952 2491.35 1719.15 345.17 0
42 DOM 1953 2568.92 1665.48 333.26 0
42 DOM 1954 2651.13 1726.79 363.51 0
42 DOM 1955 2737.26 1746.68 347.73 0
42 DOM 1956 2827.78 1871.44 380.40 0
42 DOM 1957 2923.19 1929.30 437.45 0
42 DOM 1958 3022.75 1976.26 424.66 0
42 DOM 1959 3125.75 1990.59 430.88 0
42 DOM 1960 3231.49 2079.95 482.88 0
42 DOM 1961 3340.56 1991.15 465.27 0
42 DOM 1962 3453.43 2413.88 563.78 0
42 DOM 1963 3569.22 2563.43 585.86 0
42 DOM 1964 3687.00 2657.81 601.05 0
42 DOM 1965 3805.88 2317.09 531.14 0
42 DOM 1966 3926.40 2463.61 568.75 0
42 DOM 1967 4049.15 2383.39 580.11 0
42 DOM 1968 4173.33 2311.38 584.05 0
42 DOM 1969 4298.13 2429.32 651.15 0
42 DOM 1970 4422.76 2746.00 779.54 0
42 DOM 1971 4546.97 2868.67 851.53 0
42 DOM 1972 4671.33 3014.13 982.17 0
42 DOM 1973 4796.15 3236.23 1100.66 0
42 DOM 1974 4921.76 3406.71 1292.98 0
42 DOM 1975 5048.50 3364.35 1551.84 0
42 DOM 1976 5175.59 3432.01 1499.13 0
42 DOM 1977 5302.80 3519.13 1631.26 0
42 DOM 1978 5431.31 3562.00 1660.64 0
42 DOM 1979 5562.27 3626.29 1867.08 0
42 DOM 1980 5696.85 3928.64 2254.14 0
42 DOM 1981 5831.51 4204.23 2735.44 0
42 DOM 1982 5968.38 4309.67 2830.76 0
42 DOM 1983 6105.35 4385.75 3023.19 0
42 DOM 1984 6241.05 4323.11 2999.74 0
42 DOM 1985 6378.07 4179.99 3019.71 0
42 DOM 1986 6516.11 4251.00 3217.06 0
42 DOM 1987 6655.42 4322.06 3213.67 0
42 DOM 1988 6795.72 4326.74 3660.68 0
42 DOM 1989 6936.68 4378.01 3572.43 0
42 DOM 1990 7075.63 4130.50 3446.07 0
42 DOM 1991 7213.27 4178.64 3622.98 0
42 DOM 1992 7346.81 4580.77 3987.45 0
42 DOM 1993 7472.34 4773.65 4329.17 0
42 DOM 1994 7595.12 4913.61 4588.18 0
42 DOM 1995 7721.65 4984.57 4772.00 0
42 DOM 1996 7851.19 5316.95 4986.47 0
42 DOM 1997 7978.77 5583.51 5345.11 0
42 DOM 1998 8105.20 5934.03 5747.46 0
42 DOM 1999 8230.21 6171.07 6082.43 0
42 DOM 2000 8353.52 6497.37 6497.37 0
42 DOM 2001 8475.40 6803.43 7007.29 0
42 DOM 2002 8596.13 7157.76 7500.58 0
42 DOM 2003 8715.60 6903.58 7250.27 0
42 DOM 2004 8715.60 6903.58 7936 1
51 JAM 1962 1665.13 3628.64 757.26 0
51 JAM 1963 1697.85 3808.00 832.65 0
51 JAM 1964 1739.00 3947.24 848.68 0
51 JAM 1965 1777.40 4017.78 857.50 0
51 JAM 1966 1820.08 3987.07 907.79 0
51 JAM 1967 1861.10 3922.22 924.23 0
51 JAM 1968 1893.48 3921.82 934.65 0
51 JAM 1969 1919.62 4022.41 1006.53 0
51 JAM 1970 1943.79 4492.60 1189.95 0
51 JAM 1971 1967.01 4580.03 1270.48 0
51 JAM 1972 1997.62 4943.10 1427.79 0
51 JAM 1973 2036.38 4927.43 1505.66 0
51 JAM 1974 2071.15 4711.72 1582.56 0
51 JAM 1975 2104.88 4496.54 1750.06 0
51 JAM 1976 2133.39 4354.53 1769.22 0
51 JAM 1977 2156.81 4249.03 1859.66 0
51 JAM 1978 2179.44 4222.04 1989.61 0
51 JAM 1979 2207.24 4018.39 1970.20 0
51 JAM 1980 2228.80 3705.79 1986.59 0
51 JAM 1981 2258.37 3752.54 2067.81 0
51 JAM 1982 2297.62 3735.63 2200.66 0
51 JAM 1983 2322.70 3904.44 2347.65 0
51 JAM 1984 2347.18 3784.58 2486.68 0
51 JAM 1985 2371.46 3607.79 2408.10 0
51 JAM 1986 2394.35 3601.71 2681.13 0
51 JAM 1987 2413.15 3953.57 2988.11 0
51 JAM 1988 2427.96 4005.40 3267.02 0
51 JAM 1989 2443.78 4246.33 3427.23 0
51 JAM 1990 2463.42 4447.26 3766.18 0
51 JAM 1991 2485.00 4415.63 3864.72 0
51 JAM 1992 2505.47 4596.74 4130.93 0
51 JAM 1993 2525.33 4748.15 4339.15 0
51 JAM 1994 2547.09 4718.02 4396.93 0
51 JAM 1995 2568.86 4686.12 4492.89 0
51 JAM 1996 2589.04 4615.33 4481.31 0
51 JAM 1997 2607.57 4563.09 4465.03 0
51 JAM 1998 2624.42 4679.54 4591.01 0
51 JAM 1999 2639.49 4540.94 4540.40 0
51 JAM 2000 2652.69 4520.84 4520.84 0
51 JAM 2001 2665.64 4579.56 4530.21 0
51 JAM 2002 2680.03 4588.63 4468.53 0
51 JAM 2003 2695.87 4585.12 4601.35 0
51 JAM 2004 2695.87 4585.12 5037 1
52 TRI 1962 887.50 6836.17 1293.16 0
52 TRI 1963 904.38 7088.98 1410.88 0
52 TRI 1964 923.89 7440.43 1446.58 0
52 TRI 1965 939.26 7348.02 1343.34 0
52 TRI 1966 952.53 7586.21 1564.74 0
52 TRI 1967 960.15 7863.83 1708.24 0
52 TRI 1968 963.09 8452.59 1849.96 0
52 TRI 1969 962.93 8872.34 1940.86 0
52 TRI 1970 955.00 8890.17 1990.46 0
52 TRI 1971 961.61 8501.22 2107.28 0
52 TRI 1972 975.20 9571.21 2303.96 0
52 TRI 1973 984.79 9552.59 2688.32 0
52 TRI 1974 995.36 10021.31 4156.55 0
52 TRI 1975 1006.93 10226.53 4724.64 0
52 TRI 1976 1021.48 10976.90 5440.80 0
52 TRI 1977 1039.01 11294.89 5861.83 0
52 TRI 1978 1055.53 12557.11 6504.85 0
52 TRI 1979 1073.03 12542.92 7852.26 0
52 TRI 1980 1090.51 13554.42 9981.96 0
52 TRI 1981 1101.72 13827.99 10348.36 0
52 TRI 1982 1116.33 13816.95 9851.52 0
52 TRI 1983 1133.09 12031.41 8876.99 0
52 TRI 1984 1150.26 11244.74 8875.70 0
52 TRI 1985 1166.16 10487.11 9021.96 0
52 TRI 1986 1180.17 9286.74 7676.37 0
52 TRI 1987 1191.21 9182.44 7516.48 0
52 TRI 1988 1198.34 9034.74 7352.70 0
52 TRI 1989 1200.29 8751.04 7570.42 0
52 TRI 1990 1198.40 9062.82 8901.18 0
52 TRI 1991 1192.72 9228.12 8761.28 0
52 TRI 1992 1184.20 9789.16 8627.27 0
52 TRI 1993 1175.30 9457.47 8596.08 0
52 TRI 1994 1167.04 10191.78 9548.68 0
52 TRI 1995 1160.46 10702.94 10025.13 0
52 TRI 1996 1151.27 10731.00 10304.79 0
52 TRI 1997 1141.48 10771.71 10663.40 0
52 TRI 1998 1135.72 10880.94 10522.39 0
52 TRI 1999 1130.93 12106.10 12041.53 0
52 TRI 2000 1125.07 14770.03 14770.03 0
52 TRI 2001 1118.47 14489.43 14974.26 0
52 TRI 2002 1111.51 13761.61 14933.98 0
52 TRI 2003 1104.21 18416.61 19693.20 0
52 TRI 2004 1104.21 18416.61 21557 1
53 BAR 1966 236.23 8312.98 1946.30 0
53 BAR 1967 238.22 9175.04 2214.01 0
53 BAR 1968 239.87 9405.39 2332.36 0
53 BAR 1969 239.32 10606.62 2746.28 0
53 BAR 1970 238.76 11644.17 3167.99 0
53 BAR 1971 240.61 12044.61 3433.44 0
53 BAR 1972 242.44 12292.25 3639.88 0
53 BAR 1973 244.13 12127.39 3800.07 0
53 BAR 1974 245.56 12423.04 4294.33 0
53 BAR 1975 247.15 11534.48 4336.02 0
53 BAR 1976 248.02 11336.46 4525.60 0
53 BAR 1977 249.17 11798.47 4999.73 0
53 BAR 1978 250.15 12429.57 5615.54 0
53 BAR 1979 251.15 13427.36 6559.74 0
53 BAR 1980 251.97 13541.02 7310.90 0
53 BAR 1981 252.37 12962.61 7726.31 0
53 BAR 1982 253.51 12702.60 7969.99 0
53 BAR 1983 254.93 12894.41 8390.24 0
53 BAR 1984 256.24 13591.40 9158.46 0
53 BAR 1985 257.46 13454.34 9348.96 0
53 BAR 1986 258.53 14370.60 10225.92 0
53 BAR 1987 259.46 14829.44 10891.12 0
53 BAR 1988 260.34 15045.43 11414.13 0
53 BAR 1989 261.46 15195.02 11966.31 0
53 BAR 1990 262.64 14592.31 11988.33 0
53 BAR 1991 263.71 14336.06 12246.37 0
53 BAR 1992 264.93 13720.68 11993.24 0
53 BAR 1993 266.00 13260.47 11792.44 0
53 BAR 1994 266.95 13581.83 12301.74 0
53 BAR 1995 268.00 14013.76 12968.98 0
53 BAR 1996 269.09 14232.25 13411.87 0
53 BAR 1997 270.29 14537.16 13880.89 0
53 BAR 1998 271.50 15048.66 14499.81 0
53 BAR 1999 272.70 15536.06 15230.43 0
53 BAR 2000 273.89 16086.00 16086.00 0
53 BAR 2001 275.06 15497.76 15865.03 0
53 BAR 2002 276.18 15449.81 16082.10 0
53 BAR 2003 277.26 15706.65 16739.33 0
53 BAR 2004 277.96 15943.20 17296.67 0
54 DMA 1978 75.83 4099.35 1894.82 0
54 DMA 1979 75.75 3625.91 1782.98 0
54 DMA 1980 75.45 3467.23 2031.80 0
54 DMA 1981 75.12 4282.23 2600.37 0
54 DMA 1982 74.83 4631.99 2934.77 0
54 DMA 1983 74.76 4879.63 3182.62 0
54 DMA 1984 74.85 4887.07 3334.18 0
54 DMA 1985 74.85 5011.25 3508.01 0
54 DMA 1986 74.67 5549.51 3951.43 0
54 DMA 1987 74.25 5879.71 4318.56 0
54 DMA 1988 73.74 6076.07 4654.27 0
54 DMA 1989 73.27 5785.00 4689.81 0
54 DMA 1990 72.71 6220.47 5314.06 0
54 DMA 1991 72.04 6133.41 5404.06 0
54 DMA 1992 71.78 6955.05 6074.98 0
54 DMA 1993 72.11 7050.49 6287.52 0
54 DMA 1994 72.55 6983.19 6376.18 0
54 DMA 1995 72.95 7000.37 6538.86 0
54 DMA 1996 73.09 7337.65 6936.22 0
54 DMA 1997 73.01 7547.70 7224.92 0
54 DMA 1998 72.73 8088.45 7747.07 0
54 DMA 1999 72.24 8304.56 8069.19 0
54 DMA 2000 71.54 8196.85 8196.85 0
54 DMA 2001 70.79 7692.10 7888.56 0
54 DMA 2002 70.16 7906.09 8292.09 0
54 DMA 2003 69.66 7560.58 8180.70 0
54 DMA 2004 69.66 7560.58 8955 1
55 GRN 1974 96.34 3101.93 1063.94 0
55 GRN 1975 95.82 3159.09 1180.10 0
55 GRN 1976 95.56 3203.22 1259.31 0
55 GRN 1977 94.28 3275.93 1370.10 0
55 GRN 1978 92.53 3477.26 1543.84 0
55 GRN 1979 91.35 3367.50 1645.64 0
55 GRN 1980 90.16 3491.25 1880.31 0
55 GRN 1981 92.35 3331.37 1959.49 0
55 GRN 1982 92.11 3555.30 2218.97 0
55 GRN 1983 91.90 3705.12 2395.31 0
55 GRN 1984 91.91 4016.38 2675.08 0
55 GRN 1985 92.20 4321.10 2965.33 0
55 GRN 1986 92.58 4435.69 3114.76 0
55 GRN 1987 92.72 3651.68 2664.96 0
55 GRN 1988 92.81 3817.20 2886.26 0
55 GRN 1989 92.83 3980.03 3128.35 0
55 GRN 1990 92.36 4208.02 3467.44 0
55 GRN 1991 91.84 4320.37 3661.61 0
55 GRN 1992 91.49 4514.77 3910.96 0
55 GRN 1993 90.90 4445.63 3920.33 0
55 GRN 1994 90.59 4488.82 4069.91 0
55 GRN 1995 90.60 4686.81 4315.00 0
55 GRN 1996 90.37 4794.30 4479.10 0
55 GRN 1997 90.00 5010.07 4732.64 0
55 GRN 1998 89.70 5408.63 5124.31 0
55 GRN 1999 89.47 5566.31 5415.14 0
55 GRN 2000 89.31 5896.24 5896.24 0
55 GRN 2001 89.23 5961.62 6026.92 0
55 GRN 2002 89.21 6099.35 6245.53 0
55 GRN 2003 89.26 6136.33 6506.96 0
55 GRN 2004 89.26 6136.33 7123 1
56 SLU 1979 120.40 3729.21 1771.89 0
56 SLU 1980 122.48 3572.27 1838.61 0
56 SLU 1981 124.18 3603.55 1994.06 0
56 SLU 1982 125.94 3769.34 2194.49 0
56 SLU 1983 127.82 4115.35 2529.97 0
56 SLU 1984 129.82 4426.51 2871.17 0
56 SLU 1985 131.87 4722.95 3442.69 0
56 SLU 1986 133.75 5414.85 4077.98 0
56 SLU 1987 135.38 5490.36 4232.66 0
56 SLU 1988 136.81 5986.48 4662.13 0
56 SLU 1989 138.20 6284.61 4890.79 0
56 SLU 1990 139.57 6431.80 5367.83 0
56 SLU 1991 140.94 6393.09 5524.24 0
56 SLU 1992 142.40 6792.84 5972.83 0
56 SLU 1993 143.91 6843.66 6110.02 0
56 SLU 1994 145.51 6479.28 5885.37 0
56 SLU 1995 147.19 6660.86 6203.64 0
56 SLU 1996 148.93 6560.65 6118.53 0
56 SLU 1997 150.71 6420.22 5970.42 0
56 SLU 1998 152.53 6844.81 6440.84 0
56 SLU 1999 154.38 6902.73 6730.64 0
56 SLU 2000 156.26 6839.00 6839.00 0
56 SLU 2001 158.18 6480.12 6615.75 0
56 SLU 2002 160.15 6565.65 6850.99 0
56 SLU 2003 162.16 6705.68 7112.67 0
56 SLU 2004 162.16 6705.68 7786 1
57 SVG 1979 97.01 2946.73 1485.31 0
57 SVG 1980 98.14 2853.59 1616.86 0
57 SVG 1981 99.12 3338.71 1983.23 0
57 SVG 1982 100.31 3532.91 2204.70 0
57 SVG 1983 101.56 3734.72 2407.77 0
57 SVG 1984 102.56 3953.87 2641.45 0
57 SVG 1985 103.44 3941.20 2727.19 0
57 SVG 1986 104.26 4160.58 2942.52 0
57 SVG 1987 104.90 4233.38 3101.87 0
57 SVG 1988 105.46 4534.46 3423.75 0
57 SVG 1989 105.98 4816.92 3783.36 0
57 SVG 1990 106.52 5575.82 4657.86 0
57 SVG 1991 107.01 5393.50 4601.23 0
57 SVG 1992 108.09 6057.03 5213.50 0
57 SVG 1993 109.17 6490.94 5775.29 0
57 SVG 1994 110.20 6266.49 5703.43 0
57 SVG 1995 111.41 6652.60 6179.25 0
57 SVG 1996 112.51 6781.78 6390.04 0
57 SVG 1997 113.40 6466.10 6284.85 0
57 SVG 1998 114.21 6440.14 6357.90 0
57 SVG 1999 114.90 6965.94 6862.74 0
57 SVG 2000 115.46 7671.75 7671.75 0
57 SVG 2001 115.94 7632.54 7842.74 0
57 SVG 2002 116.39 7948.95 8357.81 0
57 SVG 2003 116.81 7741.07 8429.21 0
57 SVG 2004 116.81 7741.07 9227 1
58 AAB 1981 68.26 5325.19 3269.72 0
58 AAB 1982 68.01 5655.99 3606.24 0
58 AAB 1983 65.43 7025.74 4623.96 0
58 AAB 1984 64.11 7128.20 4842.98 0
58 AAB 1985 63.85 7471.96 5259.63 0
58 AAB 1986 63.67 7880.95 5717.46 0
58 AAB 1987 63.51 7918.04 6033.45 0
58 AAB 1988 63.34 9723.35 7415.77 0
58 AAB 1989 63.12 10019.96 7952.55 0
58 AAB 1990 62.72 10791.43 9075.77 0
58 AAB 1991 62.41 10726.75 9136.93 0
